idade,horas_estudo,nota_anterior,frequencia,aprovado
55,10.19476197399487,0.21851377207778744,85.65271980131436,1
45,13.514602845409707,3.600209378545035,70.7141056781659,1
31,0.7489258170989985,8.8948999039953,59.66346134515824,0
59,17.49526120093583,6.903933385936837,87.6110960882188,1
24,9.21142074357216,1.4542285909543984,90.53243987780402,1
37,7.187847134151525,5.911550046227392,55.55832505879687,1
55,3.1957885298641133,8.922308599488716,52.0497880919017,1
35,9.069574799989622,7.000340409648555,66.70392208345586,1
39,10.178294040045387,1.4868439235669673,81.29952328805177,1
27,8.371110542622816,8.678324967344967,89.67097635943165,1
27,13.733871829624492,3.0154401328886538,77.3031248315229,1
40,8.707482310804908,4.540761443123418,79.03743881534903,1
52,19.24764276800818,5.261427596891464,89.99291108764456,1
56,12.185911597560041,8.505066043781952,76.44216871093798,1
40,16.245819745212223,9.31607495147661,80.55772451131503,1
19,2.6324401106348376,9.29652877790556,75.81086699882796,1
38,8.247180212445162,0.0795418127854064,94.0229116683852,0
18,7.068530178219477,9.218884855854572,61.77583092925444,1
40,11.60490656866354,0.5438696600157233,63.19967922702547,0
46,17.2917136411978,2.6577365681743537,56.39807308009129,0
54,2.0275952463591302,5.1498785472783295,90.97333757472109,1
18,1.9152085618718604,4.7992568900439405,70.58886452811787,1
37,17.081195309073177,6.04709793887392,67.39469704406218,1
49,4.65057667774797,4.794462287370058,99.06743585435781,1
28,13.540688461771367,9.343756796404207,96.34016832198927,1
38,11.0861235810357,2.40548848214587,98.59938410623806,1
41,16.741425100300976,2.7402469403848584,57.114949837934645,1
43,2.939233741809869,9.207379356930561,94.56259065740832,1
58,3.0307678315909197,0.7673951374525623,66.43547996937258,0
44,11.357958025426997,6.095608219048099,50.632838510593125,1
32,18.954383740488232,6.817359520656108,69.56491679915344,1
31,8.592456288229709,5.055417234297394,75.45981765690298,1
19,6.875370954966551,6.942318788231372,55.41102117837027,1
53,12.330441802358774,1.72754646011967,76.88388084371282,1
23,18.643747710628105,8.526322327715398,90.97317920883657,1
37,16.820092740470162,1.4002568946988558,68.8825475419597,1
25,19.91193040929779,4.008124443157497,67.6322403267151,1
55,0.9400873724463532,0.752576013082058,66.94052101153387,0
34,2.7007338218988637,5.452110788174002,96.1547222941846,1
20,12.38462138564913,6.697458074256391,52.437904939509956,1
41,16.50124056701007,9.412216350952905,72.25380709964776,1
30,6.0622646749819475,7.393361958960009,63.22997270748584,1
25,5.164616216667266,5.411029164541511,94.6903512693747,1
42,15.846028087933417,9.326170171703337,54.802613179190196,1
18,1.5994461501380157,4.7843683804087656,70.57213833402054,0
36,7.702961627860409,5.612056530988694,70.34080760155429,1
44,10.36327984055043,5.960985276700957,94.41972087735112,1
23,11.426799149831307,4.099797258865668,60.774672252048475,1
24,14.70799555745915,8.384826905658242,82.24477051508055,1
51,7.419491606897836,1.8517593884505912,56.720306344389456,0
30,12.44734472115484,5.54842190371608,97.69878570402713,1
33,11.914820744423649,7.222332561871941,79.6507479636143,1
52,11.178513962748069,9.039761718765773,81.31283651603351,1
56,12.989424216273138,8.839183964342784,71.68867008302361,1
20,5.559258835827488,5.08740289430142,67.11413563331611,0
18,2.150650694900265,6.431614511633416,60.63382147474381,1
22,2.825797604774997,3.94237736129301,80.19938769161294,1
58,4.879356461751071,4.681777628802003,97.7280872674119,1
20,10.253859742694312,9.062657925730495,67.98954770462015,1
45,16.88863363564739,9.30703993192474,94.15784443310271,1
34,14.17522017072349,8.954140580670197,57.438815642362485,1
42,15.886291781939919,1.3837086181363822,96.80630104409003,1
50,7.344024666558782,8.500840213306361,67.52431419490382,1
26,8.39074796214673,9.483637310214803,68.98636057966729,1
52,8.17679677681695,3.612496945736047,73.1421128517164,0
30,4.241527095887779,5.186462894216692,85.91221349738251,1
47,1.6937248337996544,7.790952558129959,85.98267168445176,1
31,12.022863810130922,5.620781375656487,73.97942923598326,1
24,19.78972532670143,9.934835217062494,76.15764496569679,1
30,3.7531792465301255,4.557133651568284,51.500524388707056,0
39,1.4103539880358382,7.1394271120737764,65.21483507791629,1
56,15.700867795566692,7.9259114019654415,67.30085371153046,1
37,5.425427130352122,4.941004157584395,77.93636343628796,1
32,16.678054204382104,8.569838057113758,77.91498836856522,1
34,14.22676500717305,5.461545912071965,85.49498988639365,1
40,18.94063397249069,4.116507968016315,85.85136481090404,1
42,8.474081097255105,1.0782367385194702,61.76053621060415,0
41,13.408411869287367,3.9341357635042415,88.50935755524124,1
57,9.564668225858778,7.339364547332842,50.9801784023141,1
45,12.796479597516598,9.212864116801073,85.80809423033602,1
31,9.267178667150878,2.516794038603103,55.10305517597116,0
